"","TAHUN","NAMA PROVINSI","NAMA KABUPATEN/KOTA","NAMA KECAMATAN","NAMA KELURAHAN","LUAS WILAYAH (KM2)","KEPADATAN (JIWA/KM2)","DEMOGRAFIK","JUMLAH","RENTANG UMUR","JENIS KELAMIN"
"1136",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN",1.33,35441,"45-49 Laki-Laki",2626,"45-49","Laki-Laki"
"1137",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING",8.31,6326,"45-49 Laki-Laki",2976,"45-49","Laki-Laki"
"1138",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA",5.61,11602,"45-49 Laki-Laki",4293,"45-49","Laki-Laki"
"1139",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","MARUNDA",7.92,3105,"45-49 Laki-Laki",1312,"45-49","Laki-Laki"
"1140",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU",2.47,34278,"45-49 Laki-Laki",4572,"45-49","Laki-Laki"
"1141",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER TIMUR",3.17,12725,"45-49 Laki-Laki",1992,"45-49","Laki-Laki"
"1142",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN",10.64,3859,"45-49 Laki-Laki",2204,"45-49","Laki-Laki"
"1143",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT",4.44,18003,"45-49 Laki-Laki",4317,"45-49","Laki-Laki"
"1144",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR",2.61,16245,"45-49 Laki-Laki",2238,"45-49","Laki-Laki"
"1145",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT",3.53,24947,"45-49 Laki-Laki",5086,"45-49","Laki-Laki"
"1146",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","ANCOL",5.77,4981,"45-49 Laki-Laki",1674,"45-49","Laki-Laki"
"1147",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING TIMUR",5.31,7089,"45-49 Laki-Laki",1893,"45-49","Laki-Laki"
"1148",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA",6.28,8216,"45-49 Laki-Laki",2608,"45-49","Laki-Laki"
"1149",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT",4.53,8515,"45-49 Laki-Laki",1821,"45-49","Laki-Laki"
"1150",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT",4.26,16409,"45-49 Laki-Laki",3675,"45-49","Laki-Laki"
"1151",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","DURI KOSAMBI",5.03,15866,"45-49 Laki-Laki",4224,"45-49","Laki-Laki"
"1152",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","RAWA BUAYA",4.67,14886,"45-49 Laki-Laki",3950,"45-49","Laki-Laki"
"1153",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE",2.61,14438,"45-49 Laki-Laki",2104,"45-49","Laki-Laki"
"1154",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK",7.18,20919,"45-49 Laki-Laki",8822,"45-49","Laki-Laki"
"1155",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR",4.18,20735,"45-49 Laki-Laki",5010,"45-49","Laki-Laki"
"1156",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL",1.22,16960,"45-49 Laki-Laki",1002,"45-49","Laki-Laki"
"1157",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA",1.11,18227,"45-49 Laki-Laki",1074,"45-49","Laki-Laki"
"1158",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG",1.88,18103,"45-49 Laki-Laki",1662,"45-49","Laki-Laki"
"1159",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR",1.44,24624,"45-49 Laki-Laki",1854,"45-49","Laki-Laki"
"1160",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN",1.76,15915,"45-49 Laki-Laki",1638,"45-49","Laki-Laki"
"1161",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU",1.44,30778,"45-49 Laki-Laki",2552,"45-49","Laki-Laki"
"1162",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA",2.61,17092,"45-49 Laki-Laki",2704,"45-49","Laki-Laki"
"1163",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TAMAN SARI",0.68,26441,"45-49 Laki-Laki",853,"45-49","Laki-Laki"
"1164",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KRUKUT",0.55,42111,"45-49 Laki-Laki",1150,"45-49","Laki-Laki"
"1165",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MAPHAR",0.59,34693,"45-49 Laki-Laki",979,"45-49","Laki-Laki"
"1166",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TANGKI",0.37,43827,"45-49 Laki-Laki",806,"45-49","Laki-Laki"
"1167",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MANGGA BESAR",0.51,17882,"45-49 Laki-Laki",409,"45-49","Laki-Laki"
"1168",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KEAGUNGAN",0.32,65800,"45-49 Laki-Laki",1117,"45-49","Laki-Laki"
"1169",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK",0.38,24153,"45-49 Laki-Laki",407,"45-49","Laki-Laki"
"1170",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","PINANGSIA",0.96,13791,"45-49 Laki-Laki",773,"45-49","Laki-Laki"
"1171",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","TAMBORA",0.28,45375,"45-49 Laki-Laki",646,"45-49","Laki-Laki"
"1172",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","KALI ANYAR",0.32,94166,"45-49 Laki-Laki",1775,"45-49","Laki-Laki"
"1173",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI UTARA",0.4,60175,"45-49 Laki-Laki",1220,"45-49","Laki-Laki"
"1174",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","TANAH SEREAL",0.62,49860,"45-49 Laki-Laki",1536,"45-49","Laki-Laki"
"1175",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","KERENDANG",0.32,74109,"45-49 Laki-Laki",1307,"45-49","Laki-Laki"
"1176",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI",0.55,66447,"45-49 Laki-Laki",2275,"45-49","Laki-Laki"
"1177",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","ANGKE",0.8,43826,"45-49 Laki-Laki",1936,"45-49","Laki-Laki"
"1178",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA",0.46,54543,"45-49 Laki-Laki",1371,"45-49","Laki-Laki"
"1179",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","PEKOJAN",0.78,35333,"45-49 Laki-Laki",1258,"45-49","Laki-Laki"
"1180",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","ROA MALAKA",0.53,8275,"45-49 Laki-Laki",199,"45-49","Laki-Laki"
"1181",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI SELATAN",0.42,41460,"45-49 Laki-Laki",850,"45-49","Laki-Laki"
"1182",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEBON JERUK",2.69,20957,"45-49 Laki-Laki",2878,"45-49","Laki-Laki"
"1183",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA",1.6,26438,"45-49 Laki-Laki",2223,"45-49","Laki-Laki"
"1184",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI SELATAN",1.57,26532,"45-49 Laki-Laki",2340,"45-49","Laki-Laki"
"1185",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KELAPA DUA",1.5,17297,"45-49 Laki-Laki",1337,"45-49","Laki-Laki"
"1186",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","DURI KEPA",3.86,17148,"45-49 Laki-Laki",3809,"45-49","Laki-Laki"
"1187",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA UTARA",3.14,15976,"45-49 Laki-Laki",2776,"45-49","Laki-Laki"
"1188",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA SELATAN",2.28,15519,"45-49 Laki-Laki",1962,"45-49","Laki-Laki"
"1189",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","KALIDERES",5.72,13726,"45-49 Laki-Laki",4222,"45-49","Laki-Laki"
"1190",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","SEMANAN",5.98,13037,"45-49 Laki-Laki",4380,"45-49","Laki-Laki"
"1191",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","TEGAL ALUR",4,23429,"45-49 Laki-Laki",5652,"45-49","Laki-Laki"
"1192",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","KAMAL",4.49,12257,"45-49 Laki-Laki",3018,"45-49","Laki-Laki"
"1193",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","PEGADUNGAN",8.89,8364,"45-49 Laki-Laki",3847,"45-49","Laki-Laki"
"1194",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","PALMERAH",2.11,33544,"45-49 Laki-Laki",3752,"45-49","Laki-Laki"
"1195",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","SLIPI",0.97,19980,"45-49 Laki-Laki",1043,"45-49","Laki-Laki"
"1196",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU UTARA",0.63,46608,"45-49 Laki-Laki",1592,"45-49","Laki-Laki"
"1197",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","JATI PULO",0.87,38834,"45-49 Laki-Laki",1767,"45-49","Laki-Laki"
"1198",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KEMANGGISAN",2.33,16328,"45-49 Laki-Laki",1790,"45-49","Laki-Laki"
"1199",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU SELATAN",0.61,41082,"45-49 Laki-Laki",1337,"45-49","Laki-Laki"
"1200",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN UTARA",3.65,15703,"45-49 Laki-Laki",3092,"45-49","Laki-Laki"
"1201",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA",4.76,9608,"45-49 Laki-Laki",2633,"45-49","Laki-Laki"
"1202",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN",2.85,11142,"45-49 Laki-Laki",1605,"45-49","Laki-Laki"
"1203",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","SRENGSENG",4.92,9446,"45-49 Laki-Laki",2364,"45-49","Laki-Laki"
"1204",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","JOGLO",4.86,8812,"45-49 Laki-Laki",2308,"45-49","Laki-Laki"
"1205",2013,"PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN SELATAN",3.6,7866,"45-49 Laki-Laki",1401,"45-49","Laki-Laki"
"1206",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET TIMUR",1.39,14544,"45-49 Laki-Laki",911,"45-49","Laki-Laki"
"1207",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET BARAT",1.72,14080,"45-49 Laki-Laki",1093,"45-49","Laki-Laki"
"1208",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MENTENG DALAM",2.58,16355,"45-49 Laki-Laki",1623,"45-49","Laki-Laki"
"1209",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","KEBON BARU",1.3,31580,"45-49 Laki-Laki",1470,"45-49","Laki-Laki"
"1210",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","BUKIT DURI",1.08,38906,"45-49 Laki-Laki",1598,"45-49","Laki-Laki"
"1211",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI SELATAN",0.51,52659,"45-49 Laki-Laki",1080,"45-49","Laki-Laki"
"1212",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI",0.95,36246,"45-49 Laki-Laki",1346,"45-49","Laki-Laki"
"1213",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","SETIA BUDI",0.94,3852,"45-49 Laki-Laki",156,"45-49","Laki-Laki"
"1214",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET SEMANGGI",0.9,3202,"45-49 Laki-Laki",103,"45-49","Laki-Laki"
"1215",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET KUNINGAN",1.79,10414,"45-49 Laki-Laki",688,"45-49","Laki-Laki"
"1216",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET",0.94,12948,"45-49 Laki-Laki",555,"45-49","Laki-Laki"
"1217",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","MENTENG ATAS",0.9,35511,"45-49 Laki-Laki",1206,"45-49","Laki-Laki"
"1218",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","PASAR MANGGIS",0.78,40395,"45-49 Laki-Laki",1168,"45-49","Laki-Laki"
"1219",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","GUNTUR",0.65,7174,"45-49 Laki-Laki",181,"45-49","Laki-Laki"
"1220",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KUNINGAN TIMUR",2.15,3335,"45-49 Laki-Laki",272,"45-49","Laki-Laki"
"1221",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","MAMPANG PRAPATAN",0.78,27765,"45-49 Laki-Laki",814,"45-49","Laki-Laki"
"1222",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","BANGKA",3.3,7351,"45-49 Laki-Laki",951,"45-49","Laki-Laki"
"1223",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","PELA MAMPANG",1.62,30940,"45-49 Laki-Laki",1935,"45-49","Laki-Laki"
"1224",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","TEGAL PARANG",1.06,34830,"45-49 Laki-Laki",1333,"45-49","Laki-Laki"
"1225",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","MAMPANG PRAPATAN","KUNINGAN BARAT",0.98,15120,"45-49 Laki-Laki",622,"45-49","Laki-Laki"
"1226",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PASAR MINGGU",2.79,9965,"45-49 Laki-Laki",1087,"45-49","Laki-Laki"
"1227",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","JATI PADANG",2.5,16524,"45-49 Laki-Laki",1393,"45-49","Laki-Laki"
"1228",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","CILANDAK TIMUR",3.53,8075,"45-49 Laki-Laki",1011,"45-49","Laki-Laki"
"1229",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","RAGUNAN",5.05,8681,"45-49 Laki-Laki",1614,"45-49","Laki-Laki"
"1230",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN TIMUR",2.88,22624,"45-49 Laki-Laki",2317,"45-49","Laki-Laki"
"1231",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","PEJATEN BARAT",2.9,14338,"45-49 Laki-Laki",1575,"45-49","Laki-Laki"
"1232",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PASAR MINGGU","KEBAGUSAN",2.26,20705,"45-49 Laki-Laki",1576,"45-49","Laki-Laki"
"1233",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA UTARA",1.78,27853,"45-49 Laki-Laki",1782,"45-49","Laki-Laki"
"1234",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","PONDOK PINANG",6.84,8897,"45-49 Laki-Laki",2134,"45-49","Laki-Laki"
"1235",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","CIPULIR",1.94,22494,"45-49 Laki-Laki",1630,"45-49","Laki-Laki"
"1236",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL UTARA",3.33,14342,"45-49 Laki-Laki",1837,"45-49","Laki-Laki"
"1237",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","GROGOL SELATAN",2.85,17009,"45-49 Laki-Laki",1886,"45-49","Laki-Laki"
"1238",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN LAMA","KEBAYORAN LAMA SELATAN",2.57,17598,"45-49 Laki-Laki",1726,"45-49","Laki-Laki"
"1239",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CILANDAK BARAT",6.05,9546,"45-49 Laki-Laki",2300,"45-49","Laki-Laki"
"1240",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","LEBAK BULUS",4.41,8840,"45-49 Laki-Laki",1404,"45-49","Laki-Laki"
"1241",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","PONDOK LABU",3.61,13349,"45-49 Laki-Laki",1888,"45-49","Laki-Laki"
"1242",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","GANDARIA SELATAN",1.76,13816,"45-49 Laki-Laki",963,"45-49","Laki-Laki"
"1243",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","CILANDAK","CIPETE SELATAN",2.37,12751,"45-49 Laki-Laki",1205,"45-49","Laki-Laki"
"1244",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","MELAWAI",1.26,2528,"45-49 Laki-Laki",148,"45-49","Laki-Laki"
"1245",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GUNUNG",1.32,8043,"45-49 Laki-Laki",498,"45-49","Laki-Laki"
"1246",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","KRAMAT PELA",1.23,12872,"45-49 Laki-Laki",670,"45-49","Laki-Laki"
"1247",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SELONG",1.4,3014,"45-49 Laki-Laki",193,"45-49","Laki-Laki"
"1248",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","RAWA BARAT",0.69,9778,"45-49 Laki-Laki",291,"45-49","Laki-Laki"
"1249",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","SENAYAN",1.53,2856,"45-49 Laki-Laki",173,"45-49","Laki-Laki"
"1250",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PULO",1.27,5408,"45-49 Laki-Laki",267,"45-49","Laki-Laki"
"1251",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","PETOGOGAN",0.86,15895,"45-49 Laki-Laki",561,"45-49","Laki-Laki"
"1252",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","GANDARIA UTARA",1.52,29247,"45-49 Laki-Laki",1812,"45-49","Laki-Laki"
"1253",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","KEBAYORAN BARU","CIPETE UTARA",1.83,20664,"45-49 Laki-Laki",1476,"45-49","Laki-Laki"
"1254",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PANCORAN",1.24,17127,"45-49 Laki-Laki",730,"45-49","Laki-Laki"
"1255",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PANCORAN","KALIBATA",2.2,21353,"45-49 Laki-Laki",1647,"45-49","Laki-Laki"
"1256",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PANCORAN","RAWA JATI",0.67,29915,"45-49 Laki-Laki",786,"45-49","Laki-Laki"
"1257",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PANCORAN","DUREN TIGA",2.45,12987,"45-49 Laki-Laki",1265,"45-49","Laki-Laki"
"1258",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PANCORAN","PENGADEGAN",0.95,24076,"45-49 Laki-Laki",880,"45-49","Laki-Laki"
"1259",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PANCORAN","CIKOKO",0.72,17661,"45-49 Laki-Laki",450,"45-49","Laki-Laki"
"1260",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","JAGAKARSA",4.85,12940,"45-49 Laki-Laki",2218,"45-49","Laki-Laki"
"1261",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","SRENGSENG SAWAH",6.75,8912,"45-49 Laki-Laki",2227,"45-49","Laki-Laki"
"1262",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIGANJUR",3.61,10334,"45-49 Laki-Laki",1353,"45-49","Laki-Laki"
"1263",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","LENTENG AGUNG",2.28,24703,"45-49 Laki-Laki",1885,"45-49","Laki-Laki"
"1264",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","TANJUNG BARAT",3.65,11460,"45-49 Laki-Laki",1433,"45-49","Laki-Laki"
"1265",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","JAGAKARSA","CIPEDAK",4.24,8473,"45-49 Laki-Laki",1302,"45-49","Laki-Laki"
"1266",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PESANGGRAHAN",2.1,13859,"45-49 Laki-Laki",1032,"45-49","Laki-Laki"
"1267",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","BINTARO",4.56,11808,"45-49 Laki-Laki",2078,"45-49","Laki-Laki"
"1268",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN UTARA",2.99,19001,"45-49 Laki-Laki",1926,"45-49","Laki-Laki"
"1269",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","PETUKANGAN SELATAN",2.11,18260,"45-49 Laki-Laki",1297,"45-49","Laki-Laki"
"1270",2013,"PROVINSI DKI JAKARTA","JAKARTA SELATAN","PESANGGRAHAN","ULUJAMI",1.71,26161,"45-49 Laki-Laki",1533,"45-49","Laki-Laki"
"1271",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PISANGAN BARU",0.68,54913,"45-49 Laki-Laki",1434,"45-49","Laki-Laki"
"1272",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU UTARA",1.05,31694,"45-49 Laki-Laki",1290,"45-49","Laki-Laki"
"1273",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KAYU MANIS",0.57,52740,"45-49 Laki-Laki",1173,"45-49","Laki-Laki"
"1274",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","PAL MERIAM",0.65,36818,"45-49 Laki-Laki",934,"45-49","Laki-Laki"
"1275",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","KEBON MANGGIS",0.78,25601,"45-49 Laki-Laki",822,"45-49","Laki-Laki"
"1276",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","MATRAMAN","UTAN KAYU SELATAN",1.12,34434,"45-49 Laki-Laki",1523,"45-49","Laki-Laki"
"1277",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PULO GADUNG",1.29,30260,"45-49 Laki-Laki",1477,"45-49","Laki-Laki"
"1278",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","PISANGAN TIMUR",1.8,26931,"45-49 Laki-Laki",1834,"45-49","Laki-Laki"
"1279",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","CIPINANG",1.54,29756,"45-49 Laki-Laki",1745,"45-49","Laki-Laki"
"1280",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATINEGARA KAUM",1.23,21792,"45-49 Laki-Laki",970,"45-49","Laki-Laki"
"1281",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","RAWAMANGUN",2.6,16963,"45-49 Laki-Laki",1746,"45-49","Laki-Laki"
"1282",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","KAYU PUTIH",4.37,11179,"45-49 Laki-Laki",1810,"45-49","Laki-Laki"
"1283",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","PULO GADUNG","JATI",2.15,17270,"45-49 Laki-Laki",1375,"45-49","Laki-Laki"
"1284",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","KAMPUNG MELAYU",0.48,63973,"45-49 Laki-Laki",1016,"45-49","Laki-Laki"
"1285",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BIDARA CINA",1.26,35493,"45-49 Laki-Laki",1727,"45-49","Laki-Laki"
"1286",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","BALI MESTER",0.67,17304,"45-49 Laki-Laki",486,"45-49","Laki-Laki"
"1287",2013,"PROVINSI DKI JAKARTA","JAKARTA TIMUR","JATINEGARA","RAWA BUNGA",0.88,28478,"45-49 Laki-Laki",903,"45-49","Laki-Laki"
